fipscode,varname,race_ethn,age,c_mn,se_tot
36061,first_entry,AI/AN,1,0.0030891178649106454,0.00119509993256465
36061,first_inv,AI/AN,1,0.008540525407011904,0.0030445727283301793
36061,first_victim,AI/AN,1,0.0042195142381133005,0.0017990380711294602
36061,tpr,AI/AN,1,3.0933504990758587e-4,3.159646355499292e-4
36061,first_entry,Asian/PI,1,7.284374370243735e-4,2.760405220739545e-4
36061,first_inv,Asian/PI,1,0.009516058635855348,0.0017076010023426805
36061,first_victim,Asian/PI,1,0.004421873331877255,9.57712403260707e-4
36061,tpr,Asian/PI,1,6.555059307648825e-5,4.727834916176623e-5
36061,first_entry,Black,1,0.01408247083502527,6.431609763495221e-4
36061,first_inv,Black,1,0.06933009179189992,0.002159574148275017
36061,first_victim,Black,1,0.041711531267742505,0.0012537077366639822
36061,tpr,Black,1,0.0023233684752701766,1.545182929799742e-4
36061,first_entry,Hispanic,1,0.0035726874034561346,3.98091396828395e-4
36061,first_inv,Hispanic,1,0.043166158570568464,0.0023670636705282874
36061,first_victim,Hispanic,1,0.02306416595724574,0.0013212047577950596
36061,tpr,Hispanic,1,4.905174035639143e-4,8.417856287110433e-5
36061,first_entry,Total,1,0.006301746402316094,2.506200166083992e-4
36061,first_inv,Total,1,0.036860280433073586,0.001019879087024038
36061,first_victim,Total,1,0.020834062173347115,5.705934499943302e-4
36061,tpr,Total,1,9.383313512657532e-4,5.414270664234062e-5
36061,first_entry,White,1,0.0037439104785179644,3.949157863521278e-4
36061,first_inv,White,1,0.014101650697834936,0.0014079332041592213
36061,first_victim,White,1,0.0072811453986216385,7.398713439852624e-4
36061,tpr,White,1,4.081208653678725e-4,6.633524467769581e-5
